Audio file name,Code,Speaker ,Addressee,"spatial position (speaker always in middle, addresse left or right)",Reported speaker (=whisperer),"Condition (type: no report (no), indirect speech (ind), direct speech (dir)), pronoun: ik, jij, hij)",Object,Correct recipient of object,Sentence
,,,,,,,,,
,,,,,,,,,
Practise items,,,,,,,,,
p1.olif,p1,olifant,aap,addresse (right),none,Practise-1p,boek,olifant,Olifant krijgt het boek.
p2.aap,p2,aap,olifant,addresse (left),none,Practise-3p,auto,hond,Hond krijgt de auto.
p3.hond,p3,hond,aap,addresse (right),none,Practise-2p,lepel,aap,Aap krijgt de lepel.
,,,,,,,,,
,,,,,,,,,
No report items,,,,,,,,,
,,,,,,,,,
1.aap.ik,1,aap,olifant,addresse (right),none,no-ik,de paraplu,aap,Ik krijg de paraplu.
2.aap.hij,2,aap,olifant,addresse (left),none,no-hij,de lepel,hond,Hij krijgt de lepel.
3.aap.ik,3,aap,hond,addresse (left),none,no-ik,de pen,aap,Ik krijg de pen.
4.aap.jij,4,aap,hond,addresse (right),none,no-jij,de hamer,hond,Jij krijgt de hamer.
5.aap.hij,5,aap,hond,addresse (right),none,no-hij,de voetbal,olifant,Hij krijgt de voetbal.
6.hond.ik,6,hond,aap,addresse (left),none,no-ik,de sjaal,hond,Ik krijg de sjaal.
7.hond.jij,7,hond,aap,addresse (right),none,no-jij,de gitaar,aap,Jij krijgt de gitaar.
8.hond.hij,8,hond,aap,addresse (left),none,no-hij,de schaar,olifant,Hij krijgt de schaar.
9.hond.jij,9,hond,olifant,addresse (right),none,no-jij,de auto ,olifant,Jij krijgt de auto.
10.hond.hij,10,hond,olifant,addresse (left),none,no-hij,de tandenborstel,aap,Hij krijgt de tandenborstel.
11.olif.ik,11,olifant,aap,addresse (right),none,no-ik,de zonnebril,olifant,Ik krijg de zonnebril.
12.olif.jij,12,olifant,aap,addresse (left),none,no-jij,de kop,aap,Jij krijgt de kop.
13.olif.hij,13,olifant,aap,addresse (right),none,no-hij,het boek,hond,Hij krijgt het boek.
14.olif.ik,14,olifant,hond,addresse (left),none,no-ik,het vliegtuig,olifant,Ik krijg het vliegtuig.
15.olif.jij,15,olifant,hond,addresse (left),none,no-jij,de vlag,hond,Jij krijgt de vlag.
,,,,,,,,,
,,,,,,,,,
Direct and indirect speech items,,,,,,,,,
,,,,,,,,,
16.aap.indjij,16,aap,olifant,addresse (left),hond,ind-jij,de kop,olifant,Hond zei dat jij de kop krijgt.
17.aap.indhij,17,aap,olifant,addresse (right),hond,ind-hij,de tandenborstel,hond,Hond zei dat hij de tandenborstel krijgt.
18.aap.dirik,18,aap,olifant,addresse (left),hond,dir-ik,de hamer,hond,Hond zei “ik krijg de hamer”.
19.aap.dirjij,19,aap,olifant,addresse (right),hond,dir-jij,de schaar,aap,Hond zei “jij krijgt de schaar”.
20.aap.dirhij,20,aap,olifant,addresse (left),hond,dir-hij,de roos,olifant,Hond zei “hij krijgt de roos”.
21.aap.indik,21,aap,hond,addresse (right),olifant,ind-ik,de voetbal,aap,Olifant zei dat ik de voetbal krijg.
22.aap.indjij,22,aap,hond,addresse (right),olifant,ind-jij,de sjaal,hond,Olifant zei dat jij de sjaal krijgt.
